,Word,Count,Include,ProperNounRatio,ManuallyExcluded
151,garage,285,1,0.0,False
152,week,282,0,0.0,False
153,strawberry,281,1,0.0,False
154,whale,281,1,0.10320284697508897,False
155,henry,279,0,0.7381818181818182,True
156,pat,278,0,0.8293515358361775,False
157,word,277,0,0.0,False
158,sock,275,1,0.0036363636363636364,False
159,puzzle,275,1,0.0,False
160,page,271,1,0.0,False
161,zoo,267,1,0.018796992481203006,False
162,digger,266,1,0.01509433962264151,False
163,hippo,265,1,0.21673003802281368,False
164,doctor,263,1,0.015209125475285171,False
165,road,262,1,0.015267175572519083,False
166,mouse,262,1,0.22137404580152673,False
167,bread,262,1,0.0,False
168,pottie,260,0,0.046153846153846156,False
169,game,260,1,0.0,False
170,track,259,1,0.0,False
171,percy,258,0,0.578125,True
172,song,257,0,0.007782101167315175,False
173,doll,255,1,0.08627450980392157,False
174,spider,254,1,0.023622047244094488,False
175,tape,251,1,0.004,False
176,shape,249,1,0.0,False
177,christmas,245,0,1.0,False
178,rest,240,1,0.0,False
179,snake,235,1,0.02127659574468085,False
180,bird,231,1,0.07792207792207792,False
181,place,231,1,0.0,False
182,tail,228,1,0.0043859649122807015,False
183,wall,227,1,0.0,False
184,sort,226,1,0.0,False
185,bottle,226,1,0.004424778761061947,False
186,spoon,226,1,0.0,False
187,fire+engine,223,0,0.013513513513513514,False
188,van,223,1,0.11210762331838565,False
189,goat,223,1,0.04035874439461883,False
190,engine,223,1,0.1210762331838565,False
191,party,220,1,0.00909090909090909,False
192,front,220,1,0.0,False
193,garden,218,1,0.0045871559633027525,False
194,pen,217,1,0.0,False
195,lorry,215,1,0.06976744186046512,False
196,grandpa,214,0,0.42924528301886794,True
197,sister,214,1,0.0047169811320754715,False
198,fence,213,1,0.0,False
199,field,213,1,0.0,False
200,moment,212,1,0.0,False
201,station,210,1,0.004761904761904762,False
202,love,209,1,0.05263157894736842,False
203,grass,208,1,0.0,False
204,ride,206,1,0.0,False
205,child,206,1,0.0,False
206,card,205,1,0.0,False
207,spot,205,1,0.1902439024390244,False
208,sandwich,202,1,0.019801980198019802,False
209,plate,202,1,0.0,False
210,balloon,201,1,0.029850746268656716,False
211,penny,200,0,0.06467661691542288,False
212,breakfast,200,1,0.0,False
213,flower,197,1,0.0,False
214,fire,196,1,0.0,False
215,tooth,193,1,0.0,False
216,hen,193,1,0.025906735751295335,False
217,light,193,1,0.0051813471502590676,False
218,bull,193,1,0.025906735751295335,False
219,sukie,193,0,1.0,False
220,piggy,188,1,0.0748663101604278,False
221,bean,187,1,0.010638297872340425,False
222,phone,187,1,0.0,False
223,james,187,1,1.0,False
224,play+group,186,0,0.3870967741935484,False
225,key,184,1,0.010869565217391304,False
226,chocolate,184,1,0.0,False
227,crayon,184,1,0.010869565217391304,False
228,to,183,0,1.0,False
229,pet,183,1,0.15300546448087432,False
230,pant,180,1,0.0,False
231,lemon,179,1,0.1340782122905028,False
232,soup,178,1,0.0056179775280898875,False
233,gate,177,1,0.05649717514124294,False
234,horsie,177,0,0.13559322033898305,False
235,carpet,173,1,0.0,False
236,kiss,173,1,0.0,False
237,trailer,172,1,0.0,False
238,kitchen,171,1,0.0,False
239,park,171,1,0.05263157894736842,False
240,monster,169,1,0.023809523809523808,False
241,duplo,168,0,0.09523809523809523,False
242,mess,168,1,0.0,False
243,pie,168,1,0.011904761904761904,False
244,granny,167,1,0.6380368098159509,False
245,ring,164,1,0.0,False
246,roof,164,1,0.0,False
247,pound,162,1,0.0,False
248,line,162,1,0.006172839506172839,False
249,granddad,162,1,0.32298136645962733,False
250,aeroplane,161,1,0.0,False
251,cuddle,161,0,0.0,False
252,pear,160,1,0.025,False
253,red,159,1,0.1509433962264151,False
254,circle,159,1,0.0,False
255,crash,158,0,0.0,False
256,ambulance,158,1,0.006329113924050633,False
257,picnic,156,1,0.0,False
258,present,155,0,0.0064516129032258064,False
259,toast,154,1,0.025974025974025976,False
260,hospital,153,1,0.026143790849673203,False
261,bike,153,1,0.006535947712418301,False
262,play+dough,153,0,0.19607843137254902,False
263,doggy,152,1,0.039735099337748346,False
264,space,151,1,0.0,False
265,helicopter,147,1,0.08163265306122448,False
266,paint,146,1,0.0,False
267,castle,146,1,0.0136986301369863,False
